Trait,Effects,Conflicts,Trait Points,Requirements,Slave Price,Can also be removed with,Description,DLC
Hollow Bones,"−0.67% Worker job efficiency per planet size
−0.67% Menial Drone job efficiency per planet size
−0.67% Soldier job efficiency per planet size","Strong
Very Strong
Weak
Tankbound",−3,"Avian
Toxoid",−400,,"Plagued by inherent fragility, this species must exercise extreme caution in daily activities to avoid cracking up during even the most mundane tasks.",
Rooted,"+200% Resettlement cost
Pops will not resettle automatically","Nomadic
Sedentary",−3,"Fungoid
Plantoid",−400,,"This species literally takes root in whichever environment they find themselves, making removal a highly traumatic experience.",
Brittle,+0.5 Pop amenities usage,,−3,"Lithoid
Necroid",−1000,,"Plagued by inherent fragility, this species must exercise extreme caution in daily activities to avoid cracking up during even the most mundane tasks.",
Haunting Visions,"−10% Elite job efficiency
−10% Specialist job efficiency
−10% Complex Drone job efficiency",,−2,Psionic,−2000,,"Entities from other dimensions send maddening visions into the minds of this species, affecting their ability to perform complex tasks.",
Void Dweller,"+15% Job efficiency on habitats
−15% Job efficiency on planets
−30% Pop happiness on planets",,0,,500,"Can be added if: Void Dwellers origin
 Habitat Preference

Can be removed if either: Genetic Resequencing tradition
 Genotype Regeneration tradition","This species thrives in orbital habitats, with an inherent ability to efficiently navigate their maze-like corridors and complicated architecture. They are at ease in zero gravity but do not respond well to a planetary environment.",
Necrophage,"+80 Years leader lifespan
−50% Pop upkeep
+5% Elite job efficiency
+5% Specialist job efficiency
−10% Worker job efficiency
−50% Pop growth speed
−50% Organic pop growth multiplier",,0,,0,Cannot be removed,This species of near-immortals procreates by consuming pops of other species.,
Cave Dweller,"+50% Species minimum habitability
+15% Mining job efficiency
+10% Empire size from pops
−10% Biological pop growth speed",,0,,500,Cannot be removed,This species thrives under the surface of any planet they can inhabit.,
Perfected Genes,"+25 Years leader lifespan
−20% Leader experience gain",,0,,0,Cannot be removed,Millennia of genetic experimentation and war have led to the creation of a highly resilient species.,
Pathogenic Genes,"Pops decline naturally
Cannot reproduce naturally
Cannot colonize or be resettled",,−1,,0,Cannot be removed,A novel genetic disease prevents this species from producing offspring. It has resisted all known gene therapy methods.,
Malleable Genes,"Enables Auto-Modding
Cannot be genetically modified",,6,,500,Cannot be removed,This species does not stick as rigidly to identifiable features and organs as most other species do. Instead they grow the best appendage for the job. However this instability has some drawbacks.,
Wilderness,"Cannot colonize megastructures
Cannot colonize artificial worlds
Will slowly die in non-Wilderness empires",,0,,0,"Can only be added or removed through assimilation if either: Engineered Genesis tradition
 Genotype Regeneration tradition
 Planned Polymorphism tradition
 Evolutionary Extrapolation tradition
 Transubstantiation Synthesis ( Hive Mind only)
 Inevitable Assimilation ( Driven Assimilator only)","This species exists as part of a mutualistic entity, made indistiguishable from its environment in its thoughts and productive output.",
Blind,"+10% Happiness
+25% Bureaucrat job efficiency
−50% Job efficiency",,0,,0,Cannot be removed,"Where we are going, we won't need eyes to see.",
